hsa-let-7a-1
hsa-let-7a-2
hsa-let-7a-3
hsa-let-7b
hsa-let-7c
hsa-let-7d
hsa-let-7e
hsa-let-7f-1
hsa-let-7f-2
hsa-let-7g
hsa-let-7i
hsa-mir-1-2
hsa-mir-100
hsa-mir-101-1
hsa-mir-101-2
hsa-mir-103-1
hsa-mir-103-2
hsa-mir-105-1
hsa-mir-105-2
hsa-mir-106a
hsa-mir-106b
hsa-mir-107
hsa-mir-10a
hsa-mir-10b
hsa-mir-1179
hsa-mir-1180
hsa-mir-1181
hsa-mir-1185-1
hsa-mir-1185-2
hsa-mir-1224
hsa-mir-1226
hsa-mir-1228
hsa-mir-1229
hsa-mir-1245
hsa-mir-1247
hsa-mir-1248
hsa-mir-1249
hsa-mir-1251
hsa-mir-1254
hsa-mir-1255a
hsa-mir-1258
hsa-mir-125a
hsa-mir-125b-1
hsa-mir-125b-2
hsa-mir-126
hsa-mir-1262
hsa-mir-1266
hsa-mir-1269
hsa-mir-127
hsa-mir-1270-1
hsa-mir-1270-2
hsa-mir-1271
hsa-mir-1274b
hsa-mir-1275
hsa-mir-1276
hsa-mir-1277
hsa-mir-128-1
hsa-mir-128-2
hsa-mir-1284
hsa-mir-1287
hsa-mir-1288
hsa-mir-129-1
hsa-mir-129-2
hsa-mir-1291
hsa-mir-1292
hsa-mir-1294
hsa-mir-1295
hsa-mir-1296
hsa-mir-1301
hsa-mir-1304
hsa-mir-1306
hsa-mir-1307
hsa-mir-130a
hsa-mir-130b
hsa-mir-132
hsa-mir-133a-1
hsa-mir-133b
hsa-mir-134
hsa-mir-135a-1
hsa-mir-135a-2
hsa-mir-135b
hsa-mir-136
hsa-mir-137
hsa-mir-138-1
hsa-mir-138-2
hsa-mir-139
hsa-mir-140
hsa-mir-141
hsa-mir-142
hsa-mir-143
hsa-mir-144
hsa-mir-145
hsa-mir-1468
hsa-mir-146a
hsa-mir-146b
hsa-mir-147b
hsa-mir-148a
hsa-mir-148b
hsa-mir-149
hsa-mir-150
hsa-mir-151
hsa-mir-152
hsa-mir-153-1
hsa-mir-153-2
hsa-mir-1537
hsa-mir-1538
hsa-mir-154
hsa-mir-155
hsa-mir-15a
hsa-mir-15b
hsa-mir-16-1
hsa-mir-16-2
hsa-mir-17
hsa-mir-181a-1
hsa-mir-181a-2
hsa-mir-181b-1
hsa-mir-181b-2
hsa-mir-181c
hsa-mir-181d
